,index,Route,SENS,PR_FIN,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,X,Y,Estimated pr,Estimation delta
142,17622,A0004,1,238,5.09821001,49.09164758,5.09834698,49.0916385,5.098278495,49.09164304,230,36.34380057561558
143,17723,A0004,1,240,5.11204615,49.09140088,5.11218279,49.09139899,5.11211447,49.091399935,231,2.5249379494020654
144,17823,A0004,1,242,5.12553042,49.09251643,5.12566521,49.09252869,5.125597815,49.092522560000006,232,20.361053546989528
145,17922,A0004,1,244,5.13899679,49.09186887,5.1391324,49.09185788,5.139064595000001,49.091863375,233,17.141411088885967
146,18022,A0004,1,246,5.15238424,49.09018731,5.15250964,49.09015121,5.15244694,49.090169259999996,234,26.763846354065663
147,18122,A0004,1,248,5.16514284,49.08710903,5.16527918,49.08710775,5.16521101,49.08710839,235,29.591932288816935
148,18222,A0004,1,250,5.17841158,49.08895364,5.17854697,49.08895078,5.178479275,49.08895221,236,3.15304559038997
149,18323,A0004,1,252,5.19214912,49.08886286,5.19228381,49.08887968,5.192216465,49.08887127,237,8.247008627555791
150,18423,A0004,1,254,5.20550461,49.09080036,5.20564075,49.0908121,5.2055726799999995,49.09080623,238,2.836801707824175
151,18523,A0004,1,239,5.21904431,49.09118572,5.2191813,49.09119629,5.219112805,49.091191005,239,16.09398768937749
152,18623,A0004,1,239,5.23252415,49.09117964,5.23265829,49.09115737,5.23259122,49.091168505,240,22.82382017215764
153,18723,A0004,1,240,5.24589826,49.09090287,5.24602445,49.09093708,5.245961355,49.090919975000006,241,4.657219124221396
154,18823,A0004,1,241,5.25900477,49.09327157,5.25913787,49.09329128,5.25907132,49.093281425,242,8.043586506430374
155,18923,A0004,1,242,5.27215971,49.09574774,5.27229415,49.09576361,5.27222693,49.095755675,243,24.249347683625846
156,19024,A0004,1,244,5.28583629,49.09716008,5.28597111,49.09717411,5.2859037,49.097167095,244,6.938653762146592
157,19122,A0004,1,244,5.29918741,49.09812442,5.29932387,49.09812584,5.29925564,49.09812513,245,51.60493528202484
158,19223,A0004,1,245,5.31206951,49.1009978,5.31218685,49.10104542,5.31212818,49.101021610000004,246,54.53924407748131
159,19322,A0004,1,246,5.32500435,49.10360047,5.32513421,49.10363199,5.32506928,49.10361623,247,4.579972194740465
160,19422,A0004,1,247,5.33786806,49.10663153,5.33799975,49.10665295,5.337933905,49.10664224,248,11.638901775262106
161,19522,A0004,1,248,5.35109122,49.10893384,5.35122401,49.1089544,5.351157615,49.108944120000004,249,14.355746529377905
162,19623,A0004,1,249,5.36463545,49.11075119,5.36476369,49.11078364,5.36469957,49.110767415,250,38.58949157982152
163,19722,A0004,1,250,5.37600771,49.11555592,5.37611544,49.11561164,5.376061575,49.115583779999994,251,53.81313855601722
164,19821,A0004,1,251,5.388341,49.11902517,5.38847746,49.11903698,5.38840923,49.119031074999995,252,50.48729888748185
165,19921,A0004,1,252,5.40074918,49.11610695,5.40084077,49.11603946,5.400794975,49.116073205000006,253,14.615006625418385
166,20021,A0004,1,253,5.41116648,49.11045801,5.41128681,49.11041631,5.411226645,49.110437160000004,254,5.057780757477936
167,20121,A0004,1,254,5.42378692,49.10725772,5.42392433,49.10725772,5.423855625,49.10725772,255,25.68995601270674
168,20194,A0004,1,25,2.7132986,48.82942101,2.71343518,48.82941289,2.7133668899999996,48.829416949999995,25,7.340270942830796
169,20294,A0004,1,25,2.72687582,48.82870285,2.72701199,48.82869982,2.7269439049999997,48.828701335,26,8.761236870062707
170,20394,A0004,1,26,2.74046419,48.82921139,2.74059923,48.8292217,2.74053171,48.829216544999994,27,8.135635063148499
171,20494,A0004,1,27,2.75400715,48.83023515,2.75414262,48.83024534,2.754074885,48.830240245,28,7.573243890214096
172,20594,A0004,1,28,2.76755016,48.83126237,2.76768539,48.83127255,2.7676177749999997,48.83126746,29,9.333841355165701
173,20694,A0004,1,29,2.7810995,48.83228547,2.78123424,48.83229543,2.78116687,48.83229045,30,8.532088019129224
174,20794,A0004,1,30,2.79463848,48.83332951,2.79477221,48.83334155,2.794705345,48.83333553,31,9.277112235614874
175,20894,A0004,1,31,2.8078125,48.83554334,2.80793927,48.83557557,2.8078758849999996,48.835559455,32,13.133041985354238
176,20994,A0004,1,32,2.81983161,48.83974473,2.81994365,48.83979657,2.81988763,48.83977065,33,16.37215652534196
177,21095,A0004,1,33,2.83009188,48.84575907,2.83018218,48.84582668,2.83013703,48.845792875,34,2.2127169351675917
178,21303,A0004,1,255,5.4357676,49.11086791,5.43587,49.1109268,5.4358188,49.110897355000006,256,18.66648621964027
179,21404,A0004,1,257,5.44717032,49.11575372,5.44730291,49.11577294,5.447236615,49.11576333,257,15.827592381560589
180,21507,A0004,1,258,5.46028931,49.11843021,5.4604000599999996,49.11848353,5.460344685,49.11845687,258,28.551658718242305
181,21605,A0004,1,258,5.47294264,49.12023735,5.47307703,49.12022204,5.473009835,49.120229695,259,20.14926283442261
182,21704,A0004,1,259,5.48619486,49.1215621,5.48633107,49.12156918,5.486262965,49.12156564,260,9.435862743816896
183,21805,A0004,1,260,5.49954786,49.11948667,5.49968282,49.11946835,5.49961534,49.119477509999996,261,35.09703027731509
184,21905,A0004,1,261,5.5132258,49.11918857,5.51336359,49.11918955,5.513294695,49.11918906,262,30.622182082377616
185,22004,A0004,1,262,5.52673974,49.11848593,5.52687675,49.11847613,5.526808245,49.11848103,263,47.351489373271086
186,22205,A0004,1,265,5.55255792,49.11537418,5.55266495,49.11531921,5.552611434999999,49.115346695,265,78.02091245801157
187,22305,A0004,1,266,5.56411517,49.11071097,5.56425037,49.11069384,5.56418277,49.110702405,266,12.323835902956947
188,22405,A0004,1,266,5.57665871,49.11331359,5.57675299,49.11337874,5.57670585,49.113346164999996,267,35.36893351497696
189,22505,A0004,1,267,5.58632925,49.11965147,5.58644427,49.11970181,5.58638676,49.11967664,268,8.029999597100337
190,22605,A0004,1,269,5.59900782,49.12296506,5.59913733,49.12299343,5.599072574999999,49.122979244999996,269,3.388168040524012
191,22705,A0004,1,270,5.61190292,49.12600415,5.61203749,49.12602487,5.611970205,49.126014510000005,270,1.7735585637964484
192,22805,A0004,1,270,5.62550554,49.12682981,5.62564291,49.1268291,5.625574224999999,49.126829455,271,10.22946709961671
193,22904,A0004,1,271,5.63903516,49.1273582,5.63916991,49.12737139,5.639102534999999,49.127364795000005,272,7.951311457787573
194,23004,A0004,1,272,5.65269649,49.12806384,5.65283306,49.12806921,5.652764775,49.128066525,273,12.826267114059176
195,23104,A0004,1,273,5.66610073,49.12985276,5.66623108,49.12988342,5.666165905,49.12986809,274,27.340111558147882
196,23204,A0004,1,274,5.67844679,49.13375451,5.67856845,49.13379617,5.6785076199999995,49.13377534,275,21.694242813401246
197,23304,A0004,1,275,5.69091249,49.13748925,5.69103878,49.13752554,5.690975635,49.137507395,276,20.376312326206378
198,23404,A0004,1,276,5.70297721,49.14175497,5.70309138,49.14180404,5.703034295,49.141779505,277,34.14068887699256
199,23504,A0004,1,277,5.71434659,49.14679547,5.71446316,49.14684287,5.714404875,49.14681917,278,27.387499873821724
200,23604,A0004,1,278,5.72610316,49.15144145,5.72621749,49.15149149,5.726160325,49.15146647,279,3.339259714175124
201,23704,A0004,1,279,5.73688811,49.15698866,5.73698962,49.15705,5.736938865,49.15701933,280,22.74842549351838
202,23804,A0004,1,280,5.74623626,49.16356691,5.74632696,49.16363485,5.7462816100000005,49.163600880000004,281,16.493595663739036
203,23904,A0004,1,281,5.75551272,49.17019342,5.75561427,49.1702544,5.755563495,49.17022391,282,34.656244747742015
204,24003,A0004,1,282,5.76655903,49.17533265,5.76667962,49.17537512,5.766619325,49.175353885,283,18.68199838354681
205,24103,A0004,1,283,5.77927958,49.17868017,5.77940967,49.17870908,5.779344625,49.178694625,284,2.5279242160981754
206,24203,A0004,1,284,5.79207552,49.18193142,5.79220149,49.18196726,5.7921385050000005,49.18194934,285,32.70408953439907
207,24303,A0004,1,285,5.80481734,49.18526989,5.80494929,49.18529515,5.804883315,49.18528252,286,5.373924011366973
208,24403,A0004,1,286,5.81827523,49.18696956,5.81841007,49.18698695,5.81834265,49.186978255,287,2.234854233133006
209,24502,A0004,1,287,5.83144223,49.18917707,5.83157846,49.18919212,5.831510345,49.189184595,288,17.247239433451323
210,24602,A0004,1,288,5.84502854,49.19036848,5.84516101,49.19039118,5.845094775,49.19037983,289,24.033997150502532
211,24703,A0004,1,289,5.85804387,49.19345178,5.85817201,49.19348408,5.85810794,49.19346793,290,3.349242501100949
212,24803,A0004,1,290,5.87108782,49.19625916,5.87122228,49.19627759,5.87115505,49.196268375,291,15.835895541270629
213,24902,A0004,1,291,5.88459432,49.19708959,5.88473227,49.19709359,5.884663294999999,49.19709159,292,35.64804613418283
214,25003,A0004,1,292,5.89832565,49.1983875,5.89846209,49.19840207,5.89839387,49.198394785000005,293,7.848206662994119
215,25103,A0004,1,295,5.91185662,49.19836621,5.9119938,49.19835557,5.91192521,49.198360890000004,294,27.28578476855458
216,25303,A0004,1,299,5.93891964,49.20048112,5.93903609,49.20052944,5.938977865,49.20050528,296,43.592863394485086
217,25403,A0004,1,300,5.95110168,49.20408084,5.95123846,49.20407732,5.95117007,49.20407908,297,33.57334810403895
218,25503,A0004,1,302,5.96450133,49.20254786,5.96462506,49.20251047,5.964563195,49.202529165,298,48.50362793378505
219,25603,A0004,1,304,5.97689455,49.19874115,5.97702838,49.1987225,5.9769614650000005,49.198731824999996,299,50.9663293054986
220,25702,A0004,1,306,5.98886975,49.19499387,5.98896123,49.19492618,5.98891549,49.194960025,300,3.6979902732462544
221,25802,A0004,1,308,5.99737284,49.18798083,5.99747334,49.1879196,5.99742309,49.187950215,301,4.496233202950038
222,25902,A0004,1,310,6.00894213,49.18326847,6.00907034,49.18323629,6.009006235,49.18325238,302,2.4775129770136957
223,26103,A0004,1,314,6.03600478,49.18035963,6.03613586,49.18033195,6.03607032,49.180345790000004,304,2.990773730399563
224,26203,A0004,1,316,6.04941407,49.17949297,6.04955063,49.17950688,6.04948235,49.179499925,305,4.325922161304284
225,26303,A0004,1,318,6.06287831,49.18113295,6.0630056,49.18116784,6.062941955,49.181150395,306,11.36937144862327
226,26402,A0004,1,320,6.07556047,49.18396819,6.07569648,49.18397638,6.075628475,49.183972284999996,307,34.41678518959816
